Target ,East 2,North 2,Height 2
B1.2N,NULL,NULL,NULL
B1.3,NULL,NULL,NULL
B1.4,NULL,NULL,NULL
B1.5,NULL,NULL,NULL
B1.7,NULL,NULL,NULL
B1.8,NULL,NULL,NULL
B1.9,NULL,NULL,NULL
B1.100,NULL,NULL,NULL
B1.11,NULL,NULL,NULL
B1.91,528860.093,179187.493,12.096
B1.92,528856.396,179189.66,12.088
B1.93,528852.492,179191.922,12.091
B3.2,NULL,NULL,NULL
B3.3,NULL,NULL,NULL
B3.4,NULL,NULL,NULL
B3.5,NULL,NULL,NULL
B3.7,NULL,NULL,NULL
B3.8,NULL,NULL,NULL
B3.9,NULL,NULL,NULL
B3.10,NULL,NULL,NULL
B3.11,NULL,NULL,NULL
B3.12,NULL,NULL,NULL
B3.91,NULL,NULL,NULL
B5.2,NULL,NULL,NULL
B5.3,NULL,NULL,NULL
B5.4,NULL,NULL,NULL
B5.5,NULL,NULL,NULL
B5.8,NULL,NULL,NULL
B5.91,NULL,NULL,NULL
B5.92,NULL,NULL,NULL
B5.93,NULL,NULL,NULL
B5.95,NULL,NULL,NULL
S1.1,NULL,NULL,NULL
S1.2,NULL,NULL,NULL
S1.3,NULL,NULL,NULL
S1.4,NULL,NULL,NULL
S2.1,NULL,NULL,NULL
S2.2,NULL,NULL,NULL
S2.3,NULL,NULL,NULL
S2.4,NULL,NULL,NULL
SO1.1,528800.754,179213.285,12.381
SO1.2,528809.734,179207.543,12.486
SO1.3,528821.245,179201.363,12.53
SO1.4,528841.086,179189.804,12.673
SO1.5,528851.523,179183.74,12.614
SO1.6,528865.488,179175.653,12.422
SO3.1N,528799.646,179214.012,18.802
SO3.2N,528809.696,179207.636,18.926
SO3.3N,528820.123,179202.094,18.794
SO3.4,528841.044,179189.891,19.103
SO3.5,528851.48,179183.835,19.103
SO3.6,528865.455,179175.728,19.059
SO5.4,528840.965,179190.018,25.889
SO5.5,528851.435,179183.925,25.993
SO5.6,528864.806,179176.165,26.333
E1.1,528871.843,179180.203,12.468
E1.2,528877.899,179194.944,12.472
E3.1,528871.764,179180.152,19.004
E3.2,528877.811,179194.89,18.988
W1.1,528799.715,179228.899,12.354
W1.2,528796.033,179220.173,12.347
W3.1,528799.791,179228.954,18.935
W3.2,528796.102,179220.231,18.795
P01,528881.29,179191.151,5.215
P02,528878.499,179184.336,5.36
P03,528869.083,179172.826,5.873
P04,528857.454,179173.903,5.923
P06,528829.886,179189.862,6.243
P07,528818.217,179198.11,6.469
P08,528807.177,179203.071,6.517
P09,528789.792,179217.619,6.683
P10,528799.591,179231.734,6.851
P11,528783.337,179220.924,6.788
P12,528793.28,179246.187,6.978
P13,528799.168,179263.693,7.401
P14,528810.198,179258.513,7.083
P15,528800.521,179240.734,6.889
P16,528808.756,179233.725,6.156
P17,528803.843,179230.879,6.35
P23,528883.327,179199.999,5.063
P24,528891.843,179217.643,5.027
P25,528906.473,179217.366,4.942
P26,528897.086,179192.844,4.959
P27,528887.318,179173.629,4.998
P28,528857.658,179159.848,5.627
P29,528829.074,179176.555,6.118
P30,528804.62,179190.835,6.412
P31,528789.474,179199.633,6.674
HO12,528808.156,179246.483,18.694
HO13,528808.151,179246.496,15.645
HO14,528808.189,179246.609,13.34
HO15,528804.958,179239.126,18.69
HO16,528804.941,179239.097,15.692
HO17,528804.971,179239.183,12.598
HO18,528813.591,179232.662,8.148
CL1.1,NULL,NULL,NULL
CL1.2,NULL,NULL,NULL
CL1.3,NULL,NULL,NULL
CL1.4,NULL,NULL,NULL
CL1.5,NULL,NULL,NULL
CL1.6,NULL,NULL,NULL
CL1.7,NULL,NULL,NULL
CL3.1,NULL,NULL,NULL
CL3.2,NULL,NULL,NULL
CL3.3,NULL,NULL,NULL
CL3.4,NULL,NULL,NULL
CL3.5,NULL,NULL,NULL
CL3.6,NULL,NULL,NULL
CL3.7,NULL,NULL,NULL
CL3.8,NULL,NULL,NULL
CL5.1,NULL,NULL,NULL
CL5.2,NULL,NULL,NULL
CL5.3,NULL,NULL,NULL
CL5.4,NULL,NULL,NULL
CL5.5,NULL,NULL,NULL
CL5.6,NULL,NULL,NULL
CL5.7,NULL,NULL,NULL
N2.1,528872.587,179199.021,16.631
N2.2,528872.562,179199.064,13.67
PG1.1,528880.192,179202.299,10.09
PG1.2,528874.898,179204.734,10.091
PG1.3,528868.031,129207.815,10.1
PG 2.1,528880.188,179202.313,13.741
PG2.2,528874.854,179204.749,13.912
PG2.3,528868.018,179207.807,13.922
PG3.1,528839.048,179199.725,19.428
PG3.2,528874.877,179204.734,16.813
PG3.3,528867.959,179207.832,16.811
PG2.2,528874.853,179204.744,13.914
W1.3,528806.951,179229.072,12.035
W3.3,528806.896,179229.05,17.455
W5.3,528806.893,179229.042,22.56
G23,528804.006,179236.891,22.21
G24,528804.008,179236.895,17.092
G25,528804.002,179236.904,11.919
G26,528811.37,179233.648,22.227
G27,528811.384,179233.631,17.089
G28,528811.482,179233.594,11.981
G29,528813.676,179232.632,22.22
G30,528813.657,179232.635,17.079
G31,528813.537,179232.689,11.964
G11X,528827.367,179246.269,15.699
G08X,528827.753,179247.158,18.726
G04X,528827.755,179247.168,21.77
G4X,528827.365,179246.263,21.645
G10X,528826.01,179241.483,15.849
G07X,528825.093,179241.018,18.968
G22X,528825.785,179242.592,21.718
G09X,528821.702,179233.205,15.692
G06X,528821.677,179233.134,18.632
G21,528821.698,179233.147,21.784
