Target ,East 2,North 2,Height 2
B1.2N,NULL,NULL,NULL
B1.3,528843.261,179197.262,12.351
B1.4,528825.113,179207.854,12.378
B1.5,528815.235,179213.595,12.184
B1.7,528871.992,179182.473,12.752
B1.8,528857.948,179188.716,12.392
B1.9,528838.308,179200.148,12.457
B1.10,528832.362,179203.634,12.403
B1.11,528810.453,179216.376,12.383
B1.91,528860.089,179187.492,12.096
B1.92,528856.39,179189.656,12.088
B1.93,528852.486,179191.913,12.091
B3.2,528853.923,179191.082,19.322
B3.3,528844.581,179196.496,19.267
B3.4,528826.806,179206.87,19.277
B3.5,528817.995,179211.998,19.266
B3.7,528872.103,179182.423,19.512
B3.8,528867.835,179184.221,19.718
B3.9,528858.013,179188.71,19.329
B3.10,528839.045,179199.724,19.424
B3.11,528833.46,179202.983,19.485
B3.12,528811.986,179215.48,19.438
B3.91,528861.594,179186.679,19.011
B5.2,NULL,NULL,NULL
B5.3,528844.34,179196.672,26.257
B5.4,528828.834,179205.687,26.327
B5.5,528814.585,179213.952,26.241
B5.8,528823.485,179208.796,26.155
B5.91,528862.946,179185.915,25.982
B5.92,528858.534,179188.498,25.982
B5.93,528854.965,179190.542,26.324
B5.95,528838.798,179199.913,25.942
S1.1,NULL,NULL,NULL
S1.2,NULL,NULL,NULL
S1.3,NULL,NULL,NULL
S1.4,NULL,NULL,NULL
S2.1,528804.652,179215.555,10.436
S2.2,528804.653,179215.544,13.298
S2.3,528805.271,179215.192,17.654
S2.4,528804.75,179215.515,20.782
SO1.1,528800.753,179213.287,12.38
SO1.2,528809.726,179207.54,12.482
SO1.3,528821.245,179201.371,12.53
SO1.4,528841.082,179189.8,12.673
SO1.5,528851.522,179183.735,12.61
SO1.6,528865.486,179175.647,12.425
SO3.1N,528799.643,179214.012,18.8
SO3.2N,528809.692,179207.633,18.924
SO3.3N,528820.119,179202.097,18.792
SO3.4,528841.044,179189.884,19.102
SO3.5,528851.476,179183.831,19.102
SO3.6,528865.452,179175.725,19.057
SO5.4,528840.965,179190.016,25.887
SO5.5,528851.433,179183.925,25.991
SO5.6,528864.804,179176.165,26.332
E1.1,528871.843,179180.201,12.468
E1.2,528877.899,179194.944,12.472
E3.1,528871.764,179180.148,19.002
E3.2,528877.815,179194.884,18.985
W1.1,528799.713,179228.896,12.352
W1.2,528796.027,179220.17,12.346
W3.1,528799.787,179228.951,18.932
W3.2,528796.1,179220.226,18.795
P01,528881.283,179191.155,5.21
P02,528878.493,179184.334,5.358
P03,528869.084,179172.823,5.877
P04,528857.452,179173.901,5.92
P06,528829.884,179189.861,6.245
P07,528818.215,179198.106,6.47
P08,528807.186,179203.078,6.518
P09,528789.791,179217.617,6.682
P10,528799.594,179231.731,6.847
P11,528783.333,179220.923,6.783
P12,528793.273,179246.185,6.976
P13,528799.168,179263.693,7.401
P14,528810.188,179258.51,7.08
P15,528800.523,179240.734,6.887
P16,528808.755,179233.722,6.155
P17,528803.841,179230.881,6.347
P23,528883.325,179199.993,5.057
P24,528891.843,179217.643,5.027
P25,528906.473,179217.366,4.942
P26,528897.084,179192.845,4.958
P27,528887.316,179173.626,4.996
P28,528857.652,179159.844,5.621
P29,528829.073,179176.546,6.117
P30,528804.623,179190.83,6.411
P31,528789.473,179199.633,6.675
G4X,528827.369,179246.264,21.643
G06X,528821.68,179233.137,18.632
G07X,528825.096,179241.019,18.968
G08X,528827.757,179247.159,18.727
G09X,528821.705,179233.209,15.692
G10X,528826.014,179241.484,15.849
G11X,528827.37,179246.272,15.699
G04X,528827.759,179247.17,21.77
G22X,528825.788,179242.594,21.717
G21,528821.702,179233.153,21.783
HO12,528808.147,179246.482,18.691
HO13,528808.15,179246.5,15.643
HO14,528808.186,179246.606,13.338
HO15,528804.957,179239.128,18.689
HO16,528804.939,179239.095,15.692
HO17,528804.97,179239.182,12.598
HO18,528813.594,179232.661,8.145
CL1.1,NULL,NULL,NULL
CL1.2,528852.973,179191.568,12.17
CL1.3,528843.626,179197.034,12.149
CL1.4,528834.466,179202.375,12.054
CL1.5,528826.964,179206.753,12.153
CL1.6,528814.305,179214.103,12.184
CL1.7,NULL,NULL,NULL
CL3.1,NULL,NULL,NULL
CL3.2,528852.752,179191.736,19.32
CL3.3,528843.392,179197.174,19.242
CL3.4,NULL,NULL,NULL
CL3.5,528828.072,179206.107,19.198
CL3.6,528818.777,179211.522,19.265
CL3.7,NULL,NULL,NULL
CL3.8,528843.394,179197.171,19.244
CL5.1,NULL,NULL,NULL
CL5.2,528860.382,179187.374,26.348
CL5.3,528852.928,179191.697,26.358
CL5.4,528846.196,179195.572,26.206
CL5.5,528834.552,179202.335,25.667
CL5.6,528824.495,179208.187,26.071
CL5.7,528816.661,179212.718,26.073
